Book-Title,Book-Author,Year-Of-Publication,ISBN,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Count
 Clifford Visita El Hospital (Clifford El Gran Perro Colorado),Norman Bridwell,2000,0439188970,Scholastic,http://images.amazon.com/images/P/0439188970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439188970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439188970.01.LZZZZZZZ.jpg,1
 Garfield Bigger and Better (Garfield (Numbered Paperback)),Jim Davis,1996,0345407709,Ballantine Books,http://images.amazon.com/images/P/0345407709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345407709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345407709.01.LZZZZZZZ.jpg,1
" Goosebumps Monster Edition 1: Welcome to Dead House, Stay Out of the Basement, and Say Cheese and Die!",R. L. Stine,1995,0590509950,Scholastic Paperbacks (T),http://images.amazon.com/images/P/0590509950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590509950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590509950.01.LZZZZZZZ.jpg,1
" Little Comic Shop of Horrors (Give Yourself Goosebumps, Book 17)",R. L. Stine,1997,059093483X,Apple (Scholastic),http://images.amazon.com/images/P/059093483X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059093483X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059093483X.01.LZZZZZZZ.jpg,1
" The Secret of the Old Clock (Nancy Drew, Book 1)",Carolyn Keene,2002,0807207543,Imagination Studio,http://images.amazon.com/images/P/0807207543.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807207543.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807207543.01.LZZZZZZZ.jpg,1
 Twenty Thousand Leagues Under the Sea (Illustrated Classics),Jules Verne,1990,0942025857,Kidsbooks.Com,http://images.amazon.com/images/P/0942025857.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0942025857.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0942025857.01.LZZZZZZZ.jpg,1
' L' Is for Lawless,Sue Grafton,1996,0708989179,F A Thorpe (Publishers),http://images.amazon.com/images/P/0708989179.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0708989179.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0708989179.01.LZZZZZZZ.jpg,1
'Salem's Lot,Stephen King,2000,067103975X,Pocket,http://images.amazon.com/images/P/067103975X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067103975X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067103975X.01.LZZZZZZZ.jpg,1
... steigen aus... maschine brennt... 10 Fliegergeschichten.,Roald Dahl,1966,3499108682,Rowohlt Tb.,http://images.amazon.com/images/P/3499108682.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3499108682.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3499108682.01.LZZZZZZZ.jpg,1
"1,000 Marbles: A Little Something About Precious Time",Jim Davis,2001,0740715534,Andrews McMeel Publishing,http://images.amazon.com/images/P/0740715534.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0740715534.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0740715534.01.LZZZZZZZ.jpg,1
